INDEX,LN_Count,LN_Total,LN_CD4#,LN_CD8#,LN_gd T cells#,LN_T reg#,LN_CD8 CD44 CD62Llo#,LN_CD4 CD44 CD62Llo#,LN_CD8 CD25+#,LN_CD8 CD27+#,LN_CD8 CD38+#,LN_CD8 CD69+#,LN_CD8 KLRG1+#,LN_CD8 PD-1+#,LN_B cells#,LN_GC cells#,LN_IgD- #,LN_Plasma cells#,LN_NK cells#,LN_CD107+NK#,LN_CD45#,LN_CD64-F4/80- #,LN_neutrophils#,LN_DC#,LN_mac#,SPLEEN_Count,SPLEEN_Total,SPLEEN_CD4#,SPLEEN_CD8#,SPLEEN_gd T cells#,SPLEEN_T reg#,SPLEEN_CD8 CD44 CD62Llo#,SPLEEN_CD4 CD44 CD62Llo#,SPLEEN_CD8 CD25+#,SPLEEN_CD8 CD27+#,SPLEEN_CD8 CD38+#,SPLEEN_CD8 CD69+#,SPLEEN_CD8 KLRG1+#,SPLEEN_CD8 PD-1+#,SPLEEN_B cells#,SPLEEN_GC cells#,SPLEEN_IgD- #,SPLEEN_Plasma cells#,SPLEEN_NK cells#,SPLEEN_CD107+NK#,SPLEEN_CD45#,SPLEEN_CD64-F4/80- #,SPLEEN_neutrophils#,SPLEEN_DC#,SPLEEN_mac#,CYTOKINE_IFN-γ,CYTOKINE_IL-10,CYTOKINE_CCL4 (MIP-1β),CYTOKINE_IFN-α,CYTOKINE_CXCL9,CYTOKINE_CXCL10,CYTOKINE_TNF-α,CYTOKINE_IL-6,CYTOKINE_VEGF,CYTOKINE_IL-4,CYTOKINE_CCL3 (MIP-1α),CYTOKINE_CCL2 (MCP-1),CYTOKINE_GM-CSF
BALBc_H_6,24,360000,224280,95400,2232,11527.992,1555.02,9038.484,200.34,83188.8,314.82,1259.28,74412,209.88,15084,43.7436,344880,620.784,313.2,7.3602,359640,358201.44,68.0582736,647.352,0,9,2700000,726300,342900,11880,55126.17,13030.2,114029.1,411.48,317525.4,25546.05,2640.33,4389.12,1817.37,421200,1895.4,2365200,5203.44,6750,2079,1930500,1832044.5,28396.68975,29343.6,60038.55,3.44,166.34,0,98.804,0,1004.22,0,0,26.86,0.41,0,3.29,40.13
BALBc_H_6,16,240000,140880,66000,1872,2578.104,3036,8621.856,158.4,57156,151.8,1386,42900,171.6,10896,126.3936,228720,480.312,211.2,19.34592,239760,239040.72,64.5409944,503.496,0,30,9000000,2655000,1278000,51300,192222,63644.4,549585,1917,1208988,98661.6,12141,9712.8,8434.8,1431000,3434.4,7776000,17107.2,16200,3839.4,8469000,8087895,91393.2135,127035,206643.6,22.45,0,37.19,4.94,54.96,344.51,20.659,14.22,0,0.52,13.27,25.98,0
BALBc_H_6,37,555000,374070,123765,4329,15673.533,2054.499,11371.728,198.024,105571.545,383.6715,1670.8275,100125.885,297.036,15040.5,157.92525,540015,1188.033,388.5,36.5967,555000,553890,83.0835,666,0,46,13800000,3905400,1849200,89700,233542.92,103555.2,550661.4,1386.9,1682772,135361.44,16642.8,23484.84,8876.16,1973400,8682.96,12185400,24370.8,30360,11202.84,13330800,13064184,87530.0328,123976.44,137307.24,9.14,0,0,0,0,655.35,0,2.46,61.35,5.25,242.34,40.34,0
BALBc_H_6,31,465000,275280,120435,3487.5,10873.56,2529.135,10846.032,264.957,103453.665,277.0005,2023.308,82738.845,277.0005,16507.5,493.57425,448725,1166.685,423.15,27.885585,464535,464070.465,22.69304574,464.535,0,72,21600000,5378400,3110400,127440,342604.08,107619.84,865922.4,3732.48,2902003.2,237945.6,36391.68,14618.88,14307.84,3758400,8644.32,18468000,38782.8,25920,7801.92,20952000,20386296,89699.7024,178092,335232,3.44,0,18.55,0,39.21,254.02,0,5.43,0,0.52,90.2,96.52,7.47
BALBc_L_6,11,165000,100155,44055,1237.5,3896.0295,938.3715,3204.96,127.7595,40618.71,101.3265,629.9865,36741.87,118.9485,5659.5,139.2237,159390,286.902,346.5,14.44905,164835,164505.33,16.41763193,247.2525,0,93,27900000,7784100,4240800,181350,593926.83,182778.48,1268808.3,5088.96,3986352,322300.8,58947.12,33502.32,21628.08,3878100,12797.73,24747300,42070.41,61380,20255.4,27063000,26088732,185229.9972,424889.1,568323,2.09,0,0.03,4.94,0,0,0,1.22,4.61,0.78,0,14.43,0
BALBc_L_6,41,615000,389910,155595,3813,22224.87,3127.4595,11346.381,357.8685,135990.03,451.2255,2691.7935,121675.29,404.547,17281.5,205.64985,597165,1492.9125,861,42.189,613770,612542.46,37.48759855,982.032,16.080774,34,10200000,3335400,1570800,70380,232143.84,63617.4,510316.2,2513.28,1501684.8,106186.08,19163.76,15550.92,10053.12,1315800,1710.54,8996400,18892.44,23460,5911.92,9516600,8907537.6,90856.88352,266464.8,380664,1,0,0,181.874,0,0,0,0,0,2.42,0,96.52,0
BALBc_L_6,45,675000,396900,181575,3780,11827.62,7045.11,13970.88,399.465,160875.45,544.725,2977.83,130189.275,453.9375,24300,398.52,650700,1041.12,877.5,14.04,674325,672976.35,52.89594111,1146.3525,8.8336575,84,25200000,6426000,3603600,153720,291097.8,363963.6,1124550,3963.96,3214411.2,261621.36,33153.12,27027,21981.96,5493600,18678.24,20588400,37059.12,57960,17388,24242400,23757552,163927.1088,247272.48,259393.68,0.04,0,0,4.94,72.05,145.37,0,1.22,8.59,1.79,0,9.85,0
BALBc_L_6,11,165000,110550,39270,1386,5660.16,628.32,3515.49,106.029,37385.04,98.175,750.057,34361.25,78.54,4158,37.8378,160710,305.349,198,9.504,164835,164340.495,36.1549089,214.2855,1.8956025,23,6900000,2235600,1159200,49680,141513.48,46136.16,277214.4,1008.504,1101240,68276.88,10200.96,17967.6,4868.64,779700,2105.19,6244500,11864.55,15180,5388.9,6658500,6398818.5,51830.42985,84562.95,157806.45,0.04,376,3.85,29.153,0,427.47,0,0,0,1.79,13.27,40.34,0
BALBc_L_6,12,180000,88020,53460,1152,1161.864,2699.73,3459.186,69.498,46029.06,80.19,1069.2,32931.36,90.882,7956,117.7488,171360,548.352,504,30.744,179820,179280.54,28.6848864,359.64,3.830166,130,39000000,11427000,6825000,195000,492503.7,561697.5,1816893,6688.5,6319950,423832.5,67567.5,25252.5,23205,6123000,12858.3,33696000,57283.2,78000,23868,36621000,35522370,284178.96,351561.6,662840.1,1.33,166.34,0,0,0,427.47,0,0.01,10.68,0.52,0,19.83,0
BALBc_H_10,38,570000,322620,160740,3591,18292.554,1623.474,14743.734,1157.328,153667.44,241.11,3970.278,150291.9,192.888,30780,313.956,538650,1131.165,450.3,4.45797,567150,564314.25,135.43542,1134.3,6.57894,61,18300000,3806400,2250900,91500,195648.96,146308.5,845020.8,6752.7,1845738,29261.7,23184.27,5627.25,5177.07,6661200,6661.2,12334200,3330.234,36600,5233.8,16872600,15708390.6,89537.82642,226092.84,820008.36,2.52,557.23,37.19,0,109.38,427.47,20.659,0.9,8.59,0.09,0,0,0
